event_id,symbol,timeframe,window_candles_W,direction,event_start_ts,event_end_ts,start_price,end_price,pct_move,duration_candles,max_intra_window_pct,notes
BTC-0001,BTCUSDT,1h,24,down,2026-06-22 13:00:00,2026-06-27 08:00:00,65548.0,60456.0,-2.91,47,-9.42,
BTC-0002,BTCUSDT,1h,24,up,2026-07-01 06:00:00,2026-07-02 20:00:00,58755.8,61584.78,5.2,30,6.26,
ETH-0001,ETHUSDT,1h,24,down,2026-05-27 05:00:00,2026-05-28 14:00:00,2077.37,1993.62,-3.75,34,-5.66,
ETH-0002,ETHUSDT,1h,24,down,2026-06-01 17:00:00,2026-06-06 23:00:00,1990.62,1569.69,-1.47,127,-13.22,
ETH-0003,ETHUSDT,1h,24,up,2026-06-06 04:00:00,2026-06-08 20:00:00,1522.56,1689.71,3.38,65,10.03,
ETH-0004,ETHUSDT,1h,24,down,2026-06-08 21:00:00,2026-06-09 21:00:00,1703.52,1650.33,-3.11,25,-5.25,
ETH-0005,ETHUSDT,1h,24,up,2026-06-10 21:00:00,2026-06-11 20:00:00,1611.44,1672.37,3.78,24,5.1,
ETH-0006,ETHUSDT,1h,24,up,2026-06-14 12:00:00,2026-06-16 09:00:00,1666.9,1789.63,2.98,46,11.33,
ETH-0007,ETHUSDT,1h,24,down,2026-06-17 16:00:00,2026-06-18 17:00:00,1772.02,1679.42,-5.13,26,-6.11,
ETH-0008,ETHUSDT,1h,24,down,2026-06-22 09:00:00,2026-06-27 08:00:00,1746.2,1584.18,-4.47,57,-12.18,
ETH-0009,ETHUSDT,1h,24,up,2026-06-30 03:00:00,2026-07-03 14:00:00,1587.18,1737.14,4.47,47,11.09,
ETH-0010,ETHUSDT,1h,24,up,2026-07-13 14:00:00,2026-07-15 21:00:00,1781.74,1922.0,6.89,45,9.28,
ETH-0011,ETHUSDT,1h,24,down,2026-07-16 03:00:00,2026-07-17 18:00:00,1918.7,1846.99,-3.33,28,-5.97,
ETH-0012,ETHUSDT,1h,24,up,2026-07-20 06:00:00,2026-07-21 17:00:00,1849.73,1918.71,3.73,24,5.1,
ETH-0013,ETHUSDT,1h,24,up,2026-07-24 04:00:00,2026-07-27 23:00:00,1876.12,1892.53,1.89,41,6.66,
