event_id,lookback_K,is_control,direction_streak_len,hh_ratio,ll_ratio,atr_pct,bb_width_pct,bb_width_pctile,volume_ratio,volume_zscore,volume_divergence,rsi_level,rsi_slope,macd_hist_slope,hour_of_day_utc,day_of_week,chart_pattern_labels,chart_pattern_confidence,chart_notes
BTC-0001,60,False,1,0.33,0.52,0.2546,0.68,50,1.05,0.1,1,57.3,40.1,19.1687,18,1,,0,
BTC-0002,60,False,0,0.48,0.48,0.2771,2.42,50,1.81,1.08,1,78.1,34.7,-28.5813,13,3,,0,
BTC-0003,60,False,1,0.35,0.48,0.3035,0.86,50,0.6,-0.59,0,52.2,-0.1,30.2732,2,3,,0,
BTC-0004,60,False,0,0.4,0.45,0.741,4.42,50,5.33,4.39,0,81.0,37.1,89.9023,15,1,,0,
BTC-0005,60,False,0,0.38,0.43,0.1736,1.05,50,1.16,0.2,1,73.0,23.1,-10.2257,7,2,,0,
BTC-0006,60,False,0,0.52,0.43,0.2012,0.67,50,1.71,0.96,1,60.4,36.7,17.5766,23,6,,0,
BTC-0007,60,False,2,0.57,0.35,0.3072,2.45,50,0.5,-0.82,-1,73.3,12.2,-4.0884,12,2,,0,
BTC-0008,60,False,3,0.35,0.47,0.5803,1.73,50,1.11,0.13,0,65.8,40.1,11.1638,0,0,,0,
BTC-0009,60,False,0,0.43,0.55,0.2969,0.95,50,0.3,-1.3,0,43.4,11.5,0.1705,11,2,,0,
BTC-0010,60,False,2,0.45,0.47,0.4501,1.7,50,1.28,0.38,1,45.9,-4.8,-40.87,19,1,,0,
BTC-0011,60,False,0,0.5,0.48,0.2509,0.86,50,0.51,-0.7,-1,65.2,0.6,6.4188,21,5,,0,
BTC-0012,60,False,0,0.38,0.58,0.2347,1.02,50,0.61,-0.43,1,50.7,30.0,-18.8712,11,0,,0,
BTC-0013,60,False,1,0.47,0.52,0.2473,0.62,50,0.43,-1.12,-1,59.8,5.3,-8.3714,10,3,,0,
BTC-0014,60,False,3,0.45,0.52,0.3386,1.67,50,2.92,3.03,1,65.0,32.4,-15.855,14,2,,0,
BTC-0015,60,False,0,0.47,0.35,0.2275,0.76,50,1.24,0.33,0,57.5,9.3,-8.6011,10,1,,0,
BTC-0016,60,False,1,0.57,0.38,0.1845,0.5,50,0.62,-0.74,-1,60.1,-7.4,9.3668,16,0,,0,
BTC-0017,60,False,1,0.5,0.47,0.2067,0.65,50,1.5,0.78,-1,53.0,4.7,22.0796,9,2,,0,
BTC-0018,60,False,0,0.45,0.42,0.4345,2.33,50,0.43,-0.63,-1,72.8,37.5,-22.3833,12,0,,0,
BTC-0019,60,False,2,0.35,0.53,1.4734,6.19,50,1.11,0.13,1,43.5,-20.9,68.4406,17,3,,0,
BTC-0020,60,False,1,0.38,0.47,0.4325,1.57,50,0.4,-0.93,-1,52.2,-23.2,21.8297,1,1,,0,
BTC-0021,60,False,1,0.45,0.48,0.9103,5.1,50,1.27,0.38,1,25.2,-34.9,24.7312,17,3,,0,
BTC-0022,60,False,0,0.53,0.33,0.214,0.67,50,0.61,-0.46,0,47.7,-9.4,0.0323,19,5,,0,
BTC-0023,60,False,0,0.42,0.45,0.4659,1.41,50,0.67,-0.38,0,47.1,-13.1,4.9826,8,1,,0,
BTC-0024,60,False,1,0.4,0.57,0.2923,0.76,50,0.46,-0.62,0,38.8,3.2,-3.2976,1,4,,0,
BTC-0025,60,False,0,0.45,0.47,0.4034,2.8,50,7.35,4.85,1,7.7,-63.1,-63.991,6,5,,0,
BTC-0026,60,False,0,0.4,0.6,0.3457,1.02,50,0.56,-0.83,0,44.9,5.3,2.8236,8,1,,0,
BTC-0027,60,False,0,0.5,0.43,0.4346,1.7,50,1.56,0.93,1,46.6,5.4,25.276,9,3,,0,
BTC-0028,60,False,0,0.43,0.55,0.3495,0.96,50,0.63,-0.46,0,55.2,14.8,-1.3968,21,6,,0,
BTC-0029,60,False,1,0.4,0.47,0.2377,0.71,50,1.64,0.94,0,66.6,31.6,12.4297,8,3,,0,
BTC-0030,60,False,0,0.42,0.45,0.2214,0.55,50,0.65,-0.46,-1,60.9,-2.2,6.1084,18,6,,0,
BTC-0031,60,False,2,0.53,0.43,0.3891,1.41,50,0.59,-0.71,-1,72.1,28.8,2.0587,19,1,,0,
BTC-0032,60,False,0,0.42,0.48,0.4314,1.11,50,0.7,-0.35,1,40.8,-8.1,-1.0615,2,0,,0,
BTC-0033,60,False,5,0.38,0.55,0.2438,1.24,50,0.65,-0.5,0,34.4,-24.8,6.4129,4,3,,0,
BTC-0034,60,False,0,0.37,0.53,0.1847,0.67,50,0.7,-0.45,0,37.8,20.1,-0.8354,7,1,,0,
BTC-0035,60,False,0,0.33,0.58,0.2138,1.16,50,0.37,-0.91,0,45.4,4.7,6.7755,17,6,,0,
BTC-0036,60,False,0,0.42,0.53,0.2232,1.04,50,0.9,-0.17,0,27.5,-26.4,-2.9653,10,3,,0,
BTC-0037,60,False,2,0.45,0.45,0.3036,1.03,50,0.64,-0.56,0,37.9,-1.4,5.4501,2,0,,0,
BTC-0038,60,False,0,0.47,0.5,0.3953,0.77,50,0.24,-0.97,0,49.6,10.7,1.1795,18,5,,0,
BTC-0039,60,False,0,0.47,0.52,0.4029,1.92,50,2.27,2.0,0,76.8,61.9,13.6579,16,2,,0,
BTC-0040,60,False,4,0.48,0.33,0.3829,2.66,50,2.68,2.4,0,83.7,42.9,10.3011,13,0,,0,
BTC-0041,60,False,2,0.5,0.45,0.3245,1.38,50,1.07,0.06,-1,40.8,7.7,-6.1266,7,2,,0,
BTC-0042,60,False,0,0.4,0.6,0.3434,1.27,50,2.16,1.66,1,37.3,-34.1,-7.0081,17,0,,0,
CTRL-000060,60,True,0,0.42,0.63,0.1526,1.0,50,0.45,-0.85,0,29.4,10.1,16.2706,20,4,,0,
CTRL-000368,60,True,0,0.47,0.43,0.1414,0.5,50,0.6,-0.56,-1,31.7,9.3,3.4147,1,1,,0,
CTRL-000676,60,True,0,0.4,0.52,0.2096,0.5,50,0.96,-0.04,1,45.8,6.1,12.3632,6,4,,0,
CTRL-000984,60,True,1,0.53,0.4,0.1534,0.72,50,0.78,-0.36,-1,53.2,13.2,-8.0768,11,0,,0,
CTRL-001292,60,True,1,0.57,0.43,0.377,1.35,50,1.74,0.89,0,58.3,7.3,3.795,16,3,,0,
CTRL-001600,60,True,1,0.38,0.48,0.1963,0.65,50,0.31,-0.72,0,37.1,-16.8,2.0623,21,6,,0,
CTRL-002216,60,True,0,0.48,0.47,0.2896,1.82,50,0.97,-0.06,-1,71.5,20.9,-19.7382,7,6,,0,
CTRL-002832,60,True,1,0.48,0.43,0.1744,0.48,50,0.42,-0.75,-1,51.9,1.3,17.5357,17,5,,0,
CTRL-003448,60,True,2,0.47,0.43,0.1331,0.34,50,0.43,-0.45,0,54.0,-2.0,2.9244,3,5,,0,
CTRL-003756,60,True,0,0.4,0.48,0.183,0.68,50,0.58,-0.98,0,62.0,19.9,7.4392,8,1,,0,
CTRL-004064,60,True,0,0.48,0.42,0.3399,0.82,50,0.82,-0.31,0,51.2,-9.0,-0.5892,13,4,,0,
CTRL-004372,60,True,2,0.47,0.5,0.6508,2.65,50,0.77,-0.25,0,41.3,3.4,2.7926,18,0,,0,
CTRL-004680,60,True,0,0.38,0.48,0.3714,1.37,50,2.0,1.37,1,49.3,9.2,2.8296,23,3,,0,
CTRL-004988,60,True,0,0.57,0.37,0.3216,1.78,50,0.65,-0.48,-1,41.2,-28.6,-15.0202,4,0,,0,
CTRL-005296,60,True,0,0.52,0.37,0.4,2.48,50,1.41,0.68,0,45.9,-8.6,-39.9131,9,3,,0,
CTRL-006220,60,True,1,0.48,0.42,0.3213,1.22,50,2.15,1.22,-1,66.0,-1.4,1.3369,0,6,,0,
CTRL-007144,60,True,0,0.52,0.4,0.5466,4.68,50,4.25,3.03,0,82.1,33.1,12.3151,15,1,,0,
CTRL-007452,60,True,1,0.42,0.47,0.4688,2.62,50,0.87,-0.15,1,64.6,17.1,0.3387,20,4,,0,
CTRL-007760,60,True,1,0.43,0.48,0.2776,1.13,50,1.15,0.19,1,16.5,-18.8,-14.7735,1,1,,0,
CTRL-008068,60,True,0,0.52,0.33,0.2176,0.67,50,0.55,-0.6,-1,50.3,-11.9,8.6698,6,4,,0,
CTRL-008376,60,True,2,0.55,0.43,0.1497,0.45,50,0.92,-0.11,0,53.7,-12.6,-2.7417,11,0,,0,
CTRL-008684,60,True,1,0.55,0.43,0.892,2.76,50,1.75,0.7,0,56.4,-7.9,-34.7212,16,3,,0,
CTRL-008992,60,True,1,0.48,0.45,0.1769,0.51,50,0.19,-0.91,-1,50.6,31.6,2.5857,21,6,,0,
CTRL-009300,60,True,1,0.47,0.4,0.1606,0.53,50,0.26,-0.75,-1,34.5,-33.9,2.4529,2,3,,0,
CTRL-009608,60,True,1,0.42,0.37,0.0765,0.25,50,0.45,-0.72,-1,45.3,-22.6,-1.3931,7,6,,0,
CTRL-009916,60,True,0,0.53,0.37,0.1354,0.79,50,0.98,-0.05,0,82.8,46.3,-7.1704,12,2,,0,
CTRL-010224,60,True,0,0.43,0.48,0.1201,0.39,50,0.22,-0.95,0,54.1,10.1,-2.444,17,5,,0,
CTRL-010532,60,True,1,0.43,0.47,0.3809,2.46,50,0.9,-0.12,1,71.0,20.9,-19.7199,22,1,,0,
CTRL-010840,60,True,0,0.5,0.45,0.0941,0.26,50,0.13,-0.57,-1,49.4,19.7,-2.6474,3,5,,0,
CTRL-011456,60,True,1,0.47,0.45,0.1261,0.59,50,0.45,-0.82,0,45.1,-4.3,3.6391,13,4,,0,
CTRL-012072,60,True,0,0.45,0.48,0.2483,0.81,50,0.43,-0.72,0,40.8,8.4,9.3493,23,3,,0,
CTRL-012380,60,True,0,0.37,0.5,0.3599,1.93,50,1.82,1.14,1,68.8,37.4,20.0856,4,0,,0,
CTRL-012688,60,True,2,0.47,0.5,0.2226,0.6,50,0.53,-0.65,0,45.6,21.0,-3.7291,9,3,,0,
CTRL-012996,60,True,1,0.35,0.47,0.3678,1.59,50,1.91,1.69,1,40.8,5.3,-29.4583,14,6,,0,
CTRL-013304,60,True,4,0.35,0.6,1.17,4.14,50,0.86,-0.15,1,42.1,-5.1,-6.3894,19,2,,0,
CTRL-013612,60,True,0,0.4,0.53,0.3653,0.97,50,0.5,-0.54,-1,29.9,-14.5,-10.5986,0,6,,0,
CTRL-013920,60,True,0,0.4,0.45,0.4702,3.52,50,0.76,-0.27,0,19.8,-23.6,12.0257,5,2,,0,
CTRL-014228,60,True,0,0.47,0.47,0.2741,2.17,50,0.41,-0.78,-1,74.1,25.8,-14.9688,10,5,,0,
CTRL-014536,60,True,0,0.38,0.6,0.5736,2.67,50,4.33,2.91,1,28.9,-14.0,-9.5726,15,1,,0,
CTRL-014844,60,True,1,0.45,0.45,0.5136,1.44,50,0.26,-0.43,0,45.7,14.5,-15.0999,20,4,,0,
CTRL-015768,60,True,0,0.45,0.43,0.4146,1.25,50,1.5,0.83,0,51.7,-12.6,-9.7529,11,0,,0,
CTRL-017308,60,True,4,0.43,0.53,0.3621,2.59,50,1.98,1.05,1,20.6,-35.0,-4.5409,12,2,,0,
CTRL-017616,60,True,0,0.37,0.42,0.2518,1.15,50,0.63,-0.42,1,35.0,-7.1,7.0149,17,5,,0,
CTRL-017924,60,True,0,0.38,0.52,0.4144,2.45,50,1.12,0.18,0,68.8,48.5,-20.6649,22,1,,0,
CTRL-018232,60,True,0,0.52,0.38,0.2136,0.83,50,0.75,-0.27,0,39.9,-13.0,7.5175,3,5,,0,
CTRL-018540,60,True,3,0.45,0.47,0.2862,0.88,50,0.8,-0.25,-1,39.0,-22.5,3.8016,8,1,,0,
CTRL-018848,60,True,4,0.5,0.42,0.2456,0.67,50,1.14,0.19,1,41.3,-15.2,-6.3379,13,4,,0,
CTRL-019464,60,True,1,0.5,0.47,0.4316,1.39,50,1.02,0.02,-1,43.1,-25.8,-17.3446,23,3,,0,
CTRL-020388,60,True,1,0.5,0.42,0.2921,1.78,50,1.0,-0.0,0,71.8,27.5,-4.5044,14,6,,0,
